Variable Name,Label/Description,Format Name and Values,Notes,
PatNum,Patient Number,Numeric,A randomly generated number that uniquely identifies each patient.,x
EmplType,Position of physician completing data sheet,"EmplType
 1 Nurse Practitioner
 2 Physician Assistant
 3 Resident
 4 Fellow
 5 Faculty",An attending or fellow physician reviewed all forms.,x
Certification,Certification of physician completing the form,"CertType
 1  Emergency Medicine
 2  Pediatrics
 3  Pediatrics Emergency Medicine
 4  Emergency Medicine and Pediatrics
 90 Other",,x
InjuryMech,Injury mechanism,"InjMech
 1 Occupant in motor vehicle 
  collision (MVC)
 2 Pedestrian struck by moving
  vehicle
 3 Bike rider struck by automobile
 4 Bike collision or fall from bike
  while riding
 5 Other wheeled transport crash
 6 Fall to ground from standing/
  walking/running
 7 Walked or ran into stationary
  object
 8 Fall from an elevation
 9 Fall down stairs
 10  Sports
 11  Assault
 12  Object struck head - accidental
 90  Other mechanism",,
High_impact_InjSev,Severity of injury mechanism,"InjSev
 1  Low
 2  Moderate
 3  High","Injury Severity based on the injury mechanism classification
 High
  Motor vehicle collision with patient ejection, 
  death of another passenger, or rollover
  Pedestrian or bicyclist without helmet struck
  by a motorized vehicle
  Falls of > 5 feet for patients 2 yrs and older
  Falls of > 3 feet < 2 yrs
  Head struck by a high-impact object
 Low
  Fall from ground level (or fall to ground from
  standing, walking or running)
  Walked/ran into stationary object
 Medium
  Any other mechanism",
Amnesia_verb,Does the patient have amnesia for the event?,"YesNoPV
 0  No
 1  Yes
 91 Pre-verbal/Non-verbal",Pre-verbal is marked if the patient is too young to speak. Non-verbal is marked if the patient is intubated or otherwise unable to give an understandable verbal response. Pre-verbal and non-verbal were determined by the physician.,
LOCSeparate,History of loss of consciousness?,"YesNoLOC
 0  No
 1 Yes
 2  Suspected",,
LocLen,Duration of loss of consciousness,"LocLen
 1  < 5 sec
 2  5 sec - < 1 min
 3  1 -5 min
 4  > 5 min
 92 Not applicable",Not applicable is marked if history of loss of consciousness is answered as no or missing.,
Seiz,Post-traumatic seizure?,"YesNo
 0  No
 1  Yes",,
SeizOccur,When did the post-traumatic seizure occur?,"SeizOcc
 1  Immediately on contact
 2  Within 30 minutes of injury
 3  > 30 minutes after injury
 92 Not applicable",Not applicable is marked if post-traumatic seizure is answered as no or missing.,
SeizLen,Duration of post-traumatic seizure,"SeizLen
 1 < 1 min
 2  1 - < 5 min
 3  5 - 15 min
 4 > 15 min
 92 Not applicable",Not applicable is marked if post-traumatic seizure is answered as no or missing.,
ActNorm,Does the parent think the child is acting normally / like themself?,"YesNo
 0  No
 1  Yes",,
HA_verb,Headache at time of ED evaluation?,"YesNoPV
 0  No
 1  Yes
 91 Pre-verbal/Non-verbal",Pre-verbal is marked if the patient is too young to speak. Non-verbal is marked if the patient is intubated or otherwise unable to give an understandable verbal response. Pre-verbal and non-verbal were determined by the physician.,
HASeverity,Severity of headache,"HASev
 1  Mild (barely noticeable)
 2  Moderate
 3  Severe (intense)
 92 Not applicable","Not applicable is marked if headache at time of ED evaluation is answered as no, pre-verbal/non-verbal, or missing.",
HAStart,When did the headache start?,"Start
 1 Before head injury
 2 Within 1 hr of event
 3 1 - 4 hrs after event
 4 > 4 hrs after event
 92 Not applicable","Not applicable is marked if headache at time of ED evaluation is answered as no, pre-verbal/non-verbal, or missing.",
Vomit,Vomiting (at any time after injury)?,"YesNo
 0  No
 1  Yes",,
VomitNbr,How many vomiting episodes?,"VomEpi
 1  Once
 2  Twice
 3  > 2 times
 92 Not applicable",Not applicable is marked if vomiting (at any time after injury) is answered as no or missing.,
VomitStart,When did the vomiting start?,"Start
 1  Before head injury
 2  Within 1 hr of event
 3 1 - 4 hrs after event
 4  > 4 hrs after event
 92 Not applicable",Not applicable is marked if vomiting (at any time after injury) is answered as no or missing.,
VomitLast,When was the last episode of vomiting?,"VomLast
 1  < 1 hr before ED evaluation
 2  1 -4 hrs before ED evaluation
 3 > 4 hrs before ED evaluation
 92 Not applicable",Not applicable is marked if vomiting (at any time after injury) is answered as no or missing.,
Dizzy,Dizziness (at ED evaluation)?,"YesNo
 0  No
 1  Yes",,x
Intubated,Is the physician's evaluation being made after the patient was intubated?,"YesNo
 0  No
 1  Yes",,
Paralyzed,Is the physician's evaluation being made after the patient was pharmacologically paralyzed?,"YesNo
 0  No
 1  Yes",,
Sedated,Is physician's evaluation being made after the patient was pharmacologically sedated?,"YesNo
 0  No
 1  Yes",,
GCSEye,GCS component: eye,"GCSEye
 1  None
 2  Pain
 3  Verbal
 4 Spontaneous",,back
GCSVerbal,GCS component: verbal,"GCSVerbal
 1 None
 2 Incomprehensible sounds (moans)
 3 Inappropriate words (cries to pain)
 4 Confused (irritable/cries)
 5 Oriented (coos/babbles)",,back
GCSMotor,GCS component: motor,"GCSMotor
 1 None
 2 Abnormal extension posturing
 3 Abnormal flexure posturing
 4 Withdraws to pain
 5 Localizes pain (withdraws to touch)
 6 Follow commands (spontaneous
  movement)",,back
GCSTotal,GCS Total,Numeric,,
GCSGroup,GCS: 14-15,"GCSGroup
 1  3 - 13
 2 14 - 15",,"exclude 3-13
 (only 969)"
AMS,"GCS < 15 or other signs of altered mental status (agitated, sleepy, slow to respond, repetitive questions in the ED, other)","YesNo
 0  No
 1  Yes","AMS was defined as a GCS between 3 and 14 or other signs of altered mental status (agitation, repetitive questions, sleepy, slow to respond, or other)",
AMSAgitated,Other signs of altered mental status: agitated,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,
AMSSleep,Other signs of altered mental status: sleepy,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,
AMSSlow,Other signs of altered mental status: slow to respond,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,
AMSRepeat,Other signs of altered mental status: repetitive questions in ED,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,
AMSOth,Other signs of altered mental status: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,
SFxPalp,Palpable skull fracture?,"YesNoUnc
 0 No
 1 Yes
 2 Unclear exam","If significant swelling or some other reason limits the physician's ability to assess for a skull fracture ""Unclear exam"" was marked.
 

 In the clinical prediction rule, palpable skull fracture and unclear exam were combined.",
SFxPalpDepress,"If the patient has a palpable skull fracture, does the fracture feel depressed?","YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if palpable skull fracture is answered as unclear, no, or missing.",
FontBulg,Anterior fontanelle bulging?,"YesNoClo
 0  No/Closed
 1  Yes",,
SFxBas,Signs of basilar skull fracture?,"YesNo
 0  No
 1  Yes",,
SFxBasHem,Basilar skull fracture: hemotympanum,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,
SFxBasOto,Basilar skull fracture: CSF otorrhea,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,
SFxBasPer,Basilar skull fracture: periorbital ecchymosis (raccoon eyes),"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,
SFxBasRet,Basilar skull fracture: retroauricular ecchymosis (battle's sign),"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,
SFxBasRhi,Basilar skull fracture: CSF rhinorrhea,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,
Hema,Raised scalp hematoma(s) or swelling(s)?,"YesNo
 0  No
 1  Yes",,
HemaLoc,Hematoma(s) or swelling(s) location(s) involved,"HemLoc
 1 Frontal
 2 Occipital
 3 Parietal/Temporal
 92 Not applicable",Not applicable is marked if raised scalp hematoma(s) or swelling(s) is answered as no or missing.,
HemaSize,Size (diameter) of largest hematoma or swelling,"HemSz
 1  Small (<1 cm, barely palpable)
 2  Medium (1-3 cm)
 3  Large (>3 cm)
 92  Not applicable",Not applicable is marked if raised scalp hematoma(s) or swelling(s) is answered as no or missing.,
Clav,"Any evidence of trauma (including laceration, abrasion, hematoma) above the clavicles (includes neck/face/scalp)?","YesNo
 0  No
 1  Yes",,
ClavFace,Trauma above the clavicles region: face,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,
ClavNeck,Trauma above the clavicles region: neck,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,
ClavFro,Trauma above the clavicles region: scalp-frontal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,
ClavOcc,Trauma above the clavicles region: scalp-occipital,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,
ClavPar,Trauma above the clavicles region: scalp-parietal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,
ClavTem,Trauma above the clavicles region: scalp-temporal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,
NeuroD,Neurological deficit (other than mental status)?,"YesNo
 0  No
 1  Yes",,
NeuroDMotor,Neurological deficit: motor,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,
NeuroDSensory,Neurological deficit: sensory,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,
NeuroDCranial,Neurological deficit: cranial nerve (includes pupil reactivity),"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,
NeuroDReflex,Neurological deficit: reflexes,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,
