,Variable Name,Label/Description,Format Name and Values,Notes,Unnamed: 4,Importance score (RF)
37,SFxBas,Signs of basilar skull fracture?,"YesNo
 0  No
 1  Yes",,,2.6255415322656876
28,AMS,"GCS < 15 or other signs of altered mental status (agitated, sleepy, slow to respond, repetitive questions in the ED, other)","YesNo
 0  No
 1  Yes","AMS was defined as a GCS between 3 and 14 or other signs of altered mental status (agitation, repetitive questions, sleepy, slow to respond, or other)",,1.590321141871825
34,SFxPalp,Palpable skull fracture?,"YesNoUnc
 0 No
 1 Yes
 2 Unclear exam","If significant swelling or some other reason limits the physician's ability to assess for a skull fracture ""Unclear exam"" was marked.
 

 In the clinical prediction rule, palpable skull fracture and unclear exam were combined.",,0.6080258878115703
39,SFxBasOto,Basilar skull fracture: CSF otorrhea,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,,0.4892300979791978
42,SFxBasRhi,Basilar skull fracture: CSF rhinorrhea,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,,0.48852039127793445
46,Clav,"Any evidence of trauma (including laceration, abrasion, hematoma) above the clavicles (includes neck/face/scalp)?","YesNo
 0  No
 1  Yes",,,0.4743107041666123
38,SFxBasHem,Basilar skull fracture: hemotympanum,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,,0.44883685097570947
53,NeuroD,Neurological deficit (other than mental status)?,"YesNo
 0  No
 1  Yes",,,0.40330982863813325
43,Hema,Raised scalp hematoma(s) or swelling(s)?,"YesNo
 0  No
 1  Yes",,,0.38915869695881267
41,SFxBasRet,Basilar skull fracture: retroauricular ecchymosis (battle's sign),"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,,0.3743300669192899
33,AMSOth,Other signs of altered mental status: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,,0.37104301874389767
40,SFxBasPer,Basilar skull fracture: periorbital ecchymosis (raccoon eyes),"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if signs of basilar skull fracture is answered as no or missing.,,0.3250787739332253
29,AMSAgitated,Other signs of altered mental status: agitated,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,,0.31933776046398676
15,Vomit,Vomiting (at any time after injury)?,"YesNo
 0  No
 1  Yes",,,0.29884492456984946
35,SFxPalpDepress,"If the patient has a palpable skull fracture, does the fracture feel depressed?","YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if palpable skull fracture is answered as unclear, no, or missing.",,0.28032351605963113
32,AMSRepeat,Other signs of altered mental status: repetitive questions in ED,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,,0.2551064742050241
6,LOCSeparate,History of loss of consciousness?,"YesNoLOC
 0  No
 1 Yes
 2  Suspected",,,0.23258481002583942
30,AMSSleep,Other signs of altered mental status: sleepy,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,,0.21214682481628783
31,AMSSlow,Other signs of altered mental status: slow to respond,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if patient does not have GCS < 15 or other signs of altered mental status or AMS is missing.,,0.2001118123379803
59,OSI,"Clinical evidence of other (non-head) substantial injuries: (includes but not limited to fractures, intra-abdominal injuries, intra-thoracic injuries and lacerations requiring operating room repair.)","YesNo
 0  No
 1  Yes",,,0.1981598234706336
44,HemaLoc,Hematoma(s) or swelling(s) location(s) involved,"HemLoc
 1 Frontal
 2 Occipital
 3 Parietal/Temporal
 92 Not applicable",Not applicable is marked if raised scalp hematoma(s) or swelling(s) is answered as no or missing.,,0.1639295957338885
7,LocLen,Duration of loss of consciousness,"LocLen
 1  < 5 sec
 2  5 sec - < 1 min
 3  1 -5 min
 4  > 5 min
 92 Not applicable",Not applicable is marked if history of loss of consciousness is answered as no or missing.,,0.1573664422987885
90,AgeInMonth,Age in months,Numeric,This is computed from the time of ED evaluation or injury date if ED evaluation is missing.,,0.1559313126708834
45,HemaSize,Size (diameter) of largest hematoma or swelling,"HemSz
 1  Small (<1 cm, barely palpable)
 2  Medium (1-3 cm)
 3  Large (>3 cm)
 92  Not applicable",Not applicable is marked if raised scalp hematoma(s) or swelling(s) is answered as no or missing.,,0.1545549292176055
8,Seiz,Post-traumatic seizure?,"YesNo
 0  No
 1  Yes",,,0.14780220277284148
16,VomitNbr,How many vomiting episodes?,"VomEpi
 1  Once
 2  Twice
 3  > 2 times
 92 Not applicable",Not applicable is marked if vomiting (at any time after injury) is answered as no or missing.,,0.1049208652218354
10,SeizLen,Duration of post-traumatic seizure,"SeizLen
 1 < 1 min
 2  1 - < 5 min
 3  5 - 15 min
 4 > 15 min
 92 Not applicable",Not applicable is marked if post-traumatic seizure is answered as no or missing.,,0.10467301849444567
3,InjuryMech,Injury mechanism,"InjMech
 1 Occupant in motor vehicle 
  collision (MVC)
 2 Pedestrian struck by moving
  vehicle
 3 Bike rider struck by automobile
 4 Bike collision or fall from bike
  while riding
 5 Other wheeled transport crash
 6 Fall to ground from standing/
  walking/running
 7 Walked or ran into stationary
  object
 8 Fall from an elevation
 9 Fall down stairs
 10  Sports
 11  Assault
 12  Object struck head - accidental
 90  Other mechanism",,,0.10275810560036691
50,ClavOcc,Trauma above the clavicles region: scalp-occipital,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,,0.0993629719733988
58,NeuroDOth,"Neurological deficit: other deficits (e.g. cerebellar, gait)","YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,,0.0981997477610264
11,ActNorm,Does the parent think the child is acting normally / like themself?,"YesNo
 0  No
 1  Yes",,,0.096285554114734
67,Drugs,Clinical suspicion for alcohol or drug intoxication (not by laboratory testing)?,"YesNo
 0  No
 1  Yes",,,0.0891997226636919
51,ClavPar,Trauma above the clavicles region: scalp-parietal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,,0.08485118546473369
91,AgeinYears,Age in years,Numeric,This is computed from the time of ED evaluation or injury date if ED evaluation is missing.,,0.08009885930904391
47,ClavFace,Trauma above the clavicles region: face,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,,0.07782921150402505
17,VomitStart,When did the vomiting start?,"Start
 1  Before head injury
 2  Within 1 hr of event
 3 1 - 4 hrs after event
 4  > 4 hrs after event
 92 Not applicable",Not applicable is marked if vomiting (at any time after injury) is answered as no or missing.,,0.0763823830353768
52,ClavTem,Trauma above the clavicles region: scalp-temporal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,,0.0686851595510242
48,ClavNeck,Trauma above the clavicles region: neck,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,,0.06645976209357478
54,NeuroDMotor,Neurological deficit: motor,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,,0.061973574195252894
55,NeuroDSensory,Neurological deficit: sensory,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,,0.06133382883779449
56,NeuroDCranial,Neurological deficit: cranial nerve (includes pupil reactivity),"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,,0.0541155510181454
13,HASeverity,Severity of headache,"HASev
 1  Mild (barely noticeable)
 2  Moderate
 3  Severe (intense)
 92 Not applicable","Not applicable is marked if headache at time of ED evaluation is answered as no, pre-verbal/non-verbal, or missing.",,0.051109564549073686
14,HAStart,When did the headache start?,"Start
 1 Before head injury
 2 Within 1 hr of event
 3 1 - 4 hrs after event
 4 > 4 hrs after event
 92 Not applicable","Not applicable is marked if headache at time of ED evaluation is answered as no, pre-verbal/non-verbal, or missing.",,0.0460805605277857
49,ClavFro,Trauma above the clavicles region: scalp-frontal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if any evidence of trauma above the clavicles is answered as no or missing.,,0.0450339564588703
18,VomitLast,When was the last episode of vomiting?,"VomLast
 1  < 1 hr before ED evaluation
 2  1 -4 hrs before ED evaluation
 3 > 4 hrs before ED evaluation
 92 Not applicable",Not applicable is marked if vomiting (at any time after injury) is answered as no or missing.,,0.0442303264695441
57,NeuroDReflex,Neurological deficit: reflexes,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if neurological deficit (other than mental status) is answered as no or missing.,,0.0400521894103468
36,FontBulg,Anterior fontanelle bulging?,"YesNoClo
 0  No/Closed
 1  Yes",,,0.0354932369740201
66,OSIOth,Other (non-head) substantial injury: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,,0.03356771716648603
60,OSIExtremity,Other (non-head) substantial injury: extremity,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,,0.030045929291183802
65,OSIPelvis,Other (non-head) substantial injury: pelvis,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,,0.028970260188878764
22,Sedated,Is physician's evaluation being made after the patient was pharmacologically sedated?,"YesNo
 0  No
 1  Yes",,,0.0279043795815542
62,OSICspine,Other (non-head) substantial injury: c-spine,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,,0.0274806696665069
61,OSICut,Other (non-head) substantial injury: laceration requiring repair in the operating room,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,,0.025574634873028496
64,OSIAbdomen,Other (non-head) substantial injury: intra-abdominal,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,,0.0213187276183673
9,SeizOccur,When did the post-traumatic seizure occur?,"SeizOcc
 1  Immediately on contact
 2  Within 30 minutes of injury
 3  > 30 minutes after injury
 92 Not applicable",Not applicable is marked if post-traumatic seizure is answered as no or missing.,,0.0154769243833208
63,OSIFlank,Other (non-head) substantial injury: chest/back/flank,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if other (non-head) substantial injuries is answered as no or missing.,,0.013825089219694112
92,AgeTwoPlus,Age: < 2 years,"AgeTwo
 1  < 2 years
 2  > = 2 years",This is computed from the time of ED evaluation or injury date if ED evaluation is missing.,,0.006923952809711031
122,Intub24Head,Intubated greater than 24 hours for head trauma,"YesNo
 0  No
 1  Yes",,RES,0.0
103,Finding3,Traumatic finding: cerebral edema,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
102,Finding2,Traumatic finding: cerebral contusion,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
101,Finding1,Traumatic finding: cerebellar hemorrhage,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
100,PosCT,TBI on CT (determined by PI),"YesNoNA
 0  No
 1  Yes
 92 Not applicable","The first traumatic head CT of any patient was reviewed in order to determine if there was a TBI on CT. TBI on CT is defined as any of the traumatic findings (1-23) below, except for skull fracture. Skull fractures were not regarded as TBIs unless the fracture was depressed by at least the width of the skull.
 

 Not applicable is marked if no head CT was performed.",x,0.0
99,EDCT,Head CT performed in ED,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","ED head CT was defined as any head CT performed in the ED except if the head CT was ""not interpretable"".
 

 Not applicable is marked if any CT done is answered as no.",x,0.0
98,CTDone,Any head CT performed?,"YesNo
 0  No
 1  Yes","This indicates if any head CT was performed regardless of where it was obtained except if the ED head CT was marked as ""not interpretable"".",x,0.0
97,EDDisposition,ED Disposition,"Disp
 1 Home
 2 OR
 3 Admit - general inpatient
 4 Admit short-stay (< 24 hr)/observation unit
 5 ICU
 6 Transferred to another hospital
 7 AMA
 8 Death in ED
 90 Other",,x,0.0
105,Finding5,Traumatic finding: diastasis of the skull,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
96,Observed,Was the patient observed in the ED after the physician's initial ED Evaluation to determine whether to obtain head CT?,"YesNo
 0  No
 1  Yes",,x,0.0
95,Race,Race,"Race
 1 White
 2 Black
 3 Asian
 4 American Indian/Alaskan Native
 5 Pacific Islander
 90 Other",As reported by the physician not by the patient/guardian.,x,0.0
94,Ethnicity,Ethnicity,"Ethn
 1 Hispanic
 2  Non-Hispanic",As reported by the physician not by the patient/guardian.,x,0.0
93,Gender,Gender,"Gender
 1  Male
 2  Female",,,0.0
114,Finding14,Traumatic finding: traumatic infarction,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
104,Finding4,Traumatic finding: cerebral hemorrhage/intracerebral hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
108,Finding8,Traumatic finding: intraventricular hemorrhage,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
106,Finding6,Traumatic finding: epidural hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
107,Finding7,Traumatic finding: extra-axial hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
89,CTSedOth,Reason for pharmacological sedation: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x,0.0
109,Finding9,Traumatic finding: midline shift/shift of brain structures,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
110,Finding10,Traumatic finding: pneumocephalus,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
113,Finding13,Traumatic finding: subdural hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
112,Finding12,Traumatic finding: subarachnoid hemorrhage,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
117,Finding22,Traumatic finding (extra finding by PI):shear injury,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
111,Finding11,Traumatic finding: skull fracture,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
118,Finding23,Traumatic finding (extra finding by PI): sigmoid sinus thrombosis,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
123,Neurosurgery,Neurosurgery,"YesNo
 0  No
 1  Yes",,RES,0.0
119,DeathTBI,Death due to TBI,"YesNo
 0  No
 1  Yes",,RES,0.0
120,HospHead,Hospitalized for 2 or more nights due to head injury,"YesNo
 0  No
 1  Yes",,x,0.0
115,Finding20,Traumatic finding (extra finding by PI): diffuse axonal injury,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
121,HospHeadPosCT,Hospitalized for 2 or more nights due to head injury and had TBI on CT,"YesNo
 0  No
 1  Yes","The hospitalization had to be due to the traumatic brain injury and not for social reasons.
 

 This was defined as a patient having been hospitalized 2 or more nights due to a head injury and also having a TBI on CT.",RES,0.0
116,Finding21,Traumatic finding (extra finding by PI): herniation,"YesNoNA
 0  No
 1  Yes
 92 Not applicable",Not applicable is marked if no head CT was performed.,x,0.0
0,PatNum,Patient Number,Numeric,A randomly generated number that uniquely identifies each patient.,x,0.0
88,CTSedRqst,Reason for pharmacological sedation: CT technician request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x,0.0
23,GCSEye,GCS component: eye,"GCSEye
 1  None
 2  Pain
 3  Verbal
 4 Spontaneous",,back,0.0
68,CTForm1,"Is a head CT, skull x-ray or head MRI being ordered or obtained?","YesNo
 0  No
 1  Yes","This variable only indicates if the physician was planning on obtaining a CT when the form was filled out. The physician could have changed his/her mind once the form was completed.
 

 This variable does not mean a CT was actually ordered. To see if a CT was actually ordered use the CTDone or EDCT variables.",x,0.0
1,EmplType,Position of physician completing data sheet,"EmplType
 1 Nurse Practitioner
 2 Physician Assistant
 3 Resident
 4 Fellow
 5 Faculty",An attending or fellow physician reviewed all forms.,x,0.0
27,GCSGroup,GCS: 14-15,"GCSGroup
 1  3 - 13
 2 14 - 15",,"exclude 3-13
 (only 969)",0.0
26,GCSTotal,GCS Total,Numeric,,,0.0
25,GCSMotor,GCS component: motor,"GCSMotor
 1 None
 2 Abnormal extension posturing
 3 Abnormal flexure posturing
 4 Withdraws to pain
 5 Localizes pain (withdraws to touch)
 6 Follow commands (spontaneous
  movement)",,back,0.0
24,GCSVerbal,GCS component: verbal,"GCSVerbal
 1 None
 2 Incomprehensible sounds (moans)
 3 Inappropriate words (cries to pain)
 4 Confused (irritable/cries)
 5 Oriented (coos/babbles)",,back,0.0
21,Paralyzed,Is the physician's evaluation being made after the patient was pharmacologically paralyzed?,"YesNo
 0  No
 1  Yes",,,0.0
70,IndAmnesia,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: amnesia,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
20,Intubated,Is the physician's evaluation being made after the patient was intubated?,"YesNo
 0  No
 1  Yes",,,0.0
19,Dizzy,Dizziness (at ED evaluation)?,"YesNo
 0  No
 1  Yes",,x,0.0
12,HA_verb,Headache at time of ED evaluation?,"YesNoPV
 0  No
 1  Yes
 91 Pre-verbal/Non-verbal",Pre-verbal is marked if the patient is too young to speak. Non-verbal is marked if the patient is intubated or otherwise unable to give an understandable verbal response. Pre-verbal and non-verbal were determined by the physician.,,0.0
5,Amnesia_verb,Does the patient have amnesia for the event?,"YesNoPV
 0  No
 1  Yes
 91 Pre-verbal/Non-verbal",Pre-verbal is marked if the patient is too young to speak. Non-verbal is marked if the patient is intubated or otherwise unable to give an understandable verbal response. Pre-verbal and non-verbal were determined by the physician.,,0.0
4,High_impact_InjSev,Severity of injury mechanism,"InjSev
 1  Low
 2  Moderate
 3  High","Injury Severity based on the injury mechanism classification
 High
  Motor vehicle collision with patient ejection, 
  death of another passenger, or rollover
  Pedestrian or bicyclist without helmet struck
  by a motorized vehicle
  Falls of > 5 feet for patients 2 yrs and older
  Falls of > 3 feet < 2 yrs
  Head struck by a high-impact object
 Low
  Fall from ground level (or fall to ground from
  standing, walking or running)
  Walked/ran into stationary object
 Medium
  Any other mechanism",,0.0
2,Certification,Certification of physician completing the form,"CertType
 1  Emergency Medicine
 2  Pediatrics
 3  Pediatrics Emergency Medicine
 4  Emergency Medicine and Pediatrics
 90 Other",,x,0.0
69,IndAge,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: young age,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
71,IndAMS,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: decreased mental status,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
87,CTSedAge,Reason for pharmacological sedation: young age,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x,0.0
80,IndRqstTrauma,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: trauma team request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
86,CTSedAgitate,Reason for pharmacological sedation: agitation/inability to hold still,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable was marked if question of whether patient was given or will patient be given pharmacological sedation for head CT is answered as no, not applicable, or missing.
 

 More than one reason for pharmacological sedation can be selected for each patient.",x,0.0
85,CTSed,Was patient given or will patient be given pharmacological sedation for head CT scan?,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.",x,0.0
84,IndOth,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: other,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
83,IndXraySFx,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: skull fracture on x-ray,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
82,IndVomit,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: vomiting,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
81,IndSeiz,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: seizure,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
79,IndRqstParent,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: parental anxiety/request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
72,IndClinSFx,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: clinical evidence of skull fracture,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
78,IndRqstMD,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: referring MD request,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
77,IndNeuroD,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: neurological deficit (other than mental status),"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
76,IndMech,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: mechanism,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
75,IndLOC,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: loss of consciousness,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
74,IndHema,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: scalp hematoma,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
73,IndHA,If a CT is being ordered or obtained check the most important indications in influencing the decision to obtain a head CT: headache,"YesNoNA
 0  No
 1  Yes
 92 Not applicable","Not applicable is marked if a head CT, skull x-ray or head MRI being ordered or obtained is answered as no or missing.
 

 More than one indication can be selected for each patient.",x,0.0
124,PosIntFinal,Clinically-important traumatic brain injury,"YesNo
 0  No
 1  Yes","Clinically-important TBI was defined as having at least one of the following: (1) neurosurgical procedure performed, (2) intubated > 24 hours for head trauma, (3) death due to TBI or in the ED, (4) hospitalized for >= 2 nights due to head injury and having a TBI on CT.",MAIN RES,0.0
