,rule,coef
5,SFxBasOto_92,-0.01122
128,Paralyzed_0.0,-0.01835
201,SeizOccur_Not applicable,-0.00705
178,SFxBas_0.0,-0.02411
162,NeuroD_0.0,-0.01705
157,NeuroDOth_92,-0.01759
153,Drugs_0.0,-0.00722
151,Sedated_0.0,-0.04325
148,Intubated_0.0,-0.07154
144,SFxPalpDepress_92.0,-0.04161
19,NeuroDCranial_92,-0.00837
137,FontBulg_0.0,-0.00643
126,SFxBasPer_92,-0.00369
118,SFxBasRet_92,-0.00459
100,SFxPalp_No,-0.01768
98,NeuroDReflex_92,-0.01339
93,Seiz_0.0,-0.04097
68,SFxBasHem_92,-0.01318
63,SFxBasRhi_92,-0.03502
40,NeuroDSensory_92,-0.01713
23,SeizLen_Not applicable,-0.01615
218,SeizLen_>15 min <= 0.5,-0.19811
219,SFxPalpDepress_1.0 <= 0.5,-0.48142
217,SFxBasHem_1 <= 0.5,-0.7302
