,rule,coef
0,OSICut_92,-0.05509
177,LocLen_1-5 min,0.17581
174,VomitStart_Not applicable,-3.64431
167,HemaLoc_Frontal,-0.59675
165,VomitNbr_Not applicable,1.475
163,ClavNeck_0,-0.46332
162,NeuroD_0.0,-0.11551
161,ClavTem_92,0.06993
159,InjuryMech_Assault,-1.00055
158,HAStart_Not applicable,4.19599
157,NeuroDOth_92,-0.09031
156,InjuryMech_FallElev,0.14238
153,Drugs_0.0,-0.1036
151,Sedated_0.0,-0.13167
149,Vomit_1.0,-2.19247
148,Intubated_0.0,-0.21256
147,OSIOth_0,3.87242
146,AgeInMonth,-0.01795
144,SFxPalpDepress_92.0,-0.15808
143,High_impact_InjSev_Moderate,-0.21315
140,OSICspine_0,-0.86002
138,ClavTem_1,-0.44937
137,FontBulg_0.0,-0.11775
135,HA_verb_1.0,0.31401
134,ClavOcc_0,-0.1779
131,VomitLast_1-4 hrs before ED,3.51592
130,HASeverity_Mild,0.24384
129,HemaLoc_Occipital,-0.44875
128,Paralyzed_0.0,-0.17309
127,ActNorm_0.0,0.07922
126,SFxBasPer_92,-0.13815
175,ClavPar_1,-0.64707
178,SFxBas_0.0,-0.16892
121,LOCSeparate_No,1.5286
179,ClavFace_1,-0.49253
5,SFxBasOto_92,-0.06103
216,ClavOcc_92,-0.06485
215,High_impact_InjSev_High,0.99845
214,AMS_1.0,0.40426
213,AMSRepeat_0,0.75306
212,InjuryMech_Sports,-0.10307
211,AMSOth_92,-0.5245
210,OSIFlank_92,0.00312
209,AMSSlow_1,0.10989
208,InjuryMech_FallStair,-0.34292
207,HAStart_Within 1 hr of event,4.83895
206,InjuryMech_Other,0.31974
205,ClavFro_92,-0.58741
204,ClavNeck_92,0.01102
202,ActNorm_1.0,-0.26585
201,SeizOccur_Not applicable,-0.09465
200,AMSAgitated_92,-0.56539
199,OSIPelvis_92,0.01384
198,HemaSize_Medium,0.85417
195,NeuroDMotor_92,-0.12502
193,OSIFlank_0,0.21394
192,Clav_1.0,0.62134
191,VomitLast_<1 hr before ED,3.42842
190,HemaLoc_Parietal/Temporal,0.00662
189,AMSAgitated_0,0.7861
185,AMSSleep_0,3.11248
183,Amnesia_verb_0.0,1.29958
182,ClavTem_0,-0.13247
180,Amnesia_verb_1.0,1.47078
122,OSIPelvis_0,-0.38123
194,HemaSize_Not applicable,0.30222
119,VomitNbr_Once,0.50445
64,HA_verb_91.0,1.47786
62,OSIExtremity_0,-1.03661
61,OSI_1.0,-0.6568
59,AgeinYears,0.14572
55,LocLen_Not applicable,0.18585
54,OSIExtremity_1,-0.17532
52,InjuryMech_BikeCol,-0.64436
50,OSICut_0,-0.66939
48,VomitNbr_>2 times,1.2221
46,OSICspine_92,0.05874
42,OSIOth_92,-0.06396
40,NeuroDSensory_92,-0.10879
39,OSIExtremity_92,0.03406
38,ClavFro_0,-0.17464
35,AMSSlow_92,-0.6135
34,HASeverity_Moderate,0.55877
33,HA_verb_0.0,1.25532
31,VomitNbr_Twice,0.52397
30,LOCSeparate_Yes,2.93294
29,InjuryMech_ObjStruckHead,0.70088
25,ClavPar_92,-0.22587
23,SeizLen_Not applicable,-0.11472
19,NeuroDCranial_92,-0.10965
17,ClavFace_92,0.0348
16,High_impact_InjSev_Low,-0.2553
11,LOCSeparate_Suspected,2.64208
10,AMSRepeat_92,-0.54903
9,InjuryMech_PedesMV,-0.04885
6,AgeTwoPlus,-0.06907
118,SFxBasRet_92,-0.1333
63,SFxBasRhi_92,-0.19806
47,OSIAbdomen_0,-0.69911
65,Vomit_0.0,0.92688
100,SFxPalp_No,-0.1216
93,Seiz_0.0,-0.09848
94,Clav_0.0,-1.26002
96,InjuryMech_FallToGround,-0.81085
97,HASeverity_Not applicable,-0.47673
98,NeuroDReflex_92,-0.15397
99,HemaSize_Large,-0.9807
66,LocLen_5 sec - 1 min,-0.25802
90,Hema_0.0,0.88595
103,VomitStart_1-4 hrs after event,0.80453
106,ClavFro_1,-0.02055
108,ClavOcc_1,-0.0317
111,AMSSleep_92,-0.45897
116,ClavFace_0,-0.06448
117,OSIAbdomen_92,-0.00529
92,InjuryMech_MVC,1.11994
102,AMSSlow_0,0.2654
89,AMSSleep_1,-3.19353
88,Amnesia_verb_91.0,1.30899
86,AMS_0.0,0.3288
84,InjuryMech_RanIntoStatObj,-0.1954
83,ClavPar_0,-0.77579
68,SFxBasHem_92,-0.07331
79,Hema_1.0,1.43167
78,AMSOth_0,0.66242
77,VomitStart_Within 1 hr of event,-1.1115
74,OSI_0.0,0.4613
73,HemaSize_Small,1.05119
72,VomitLast_nan,3.54232
69,HemaLoc_Not applicable,0.67849
337,SeizLen_>15 min <= 0.5,-1.31447
336,FontBulg_nan <= 0.5,-0.14657
305,SeizLen_5-15 min <= 0.5,-0.12857
329,SFxBasRet_1 <= 0.5,-0.1281
292,Sedated_1.0 <= 0.5,-0.14272
318,FontBulg_0.0 > 0.5,-0.32208
328,Sedated_0.0 > 0.5,0.02675
307,ActNorm_nan <= 0.5,-0.09287
294,SeizLen_5-15 min <= 0.5 and SFxBasRet_1 <= 0.5,-0.19557
300,SeizOccur_>30 minutes after injury <= 0.5 and SFxBasRet_1 <= 0.5,-0.15502
288,SFxBasPer_1 <= 0.5,-0.07035
291,SFxPalpDepress_1.0 <= 0.5,-0.15715
334,OSICut_1 <= 0.5 and ActNorm_nan <= 0.5,-0.15143
