,rule,coef
5,SFxBasOto_92,-0.01972
19,NeuroDCranial_92,-0.02683
195,NeuroDMotor_92,-0.02854
178,SFxBas_0.0,-0.02147
162,NeuroD_0.0,-0.02634
157,NeuroDOth_92,-0.02757
153,Drugs_0.0,-0.03035
151,Sedated_0.0,-0.02833
148,Intubated_0.0,-0.02844
144,SFxPalpDepress_92.0,-0.025
137,FontBulg_0.0,-0.03005
128,Paralyzed_0.0,-0.01556
126,SFxBasPer_92,-0.02417
118,SFxBasRet_92,-0.02627
100,SFxPalp_No,-0.01634
98,NeuroDReflex_92,-0.02921
93,Seiz_0.0,-0.02409
68,SFxBasHem_92,-0.02634
63,SFxBasRhi_92,-0.03481
40,NeuroDSensory_92,-0.02809
23,SeizLen_Not applicable,-0.02745
201,SeizOccur_Not applicable,-0.01962
