,rule,coef
0,OSICut_92,-0.18662
177,LocLen_1-5 min,0.59441
174,VomitStart_Not applicable,-6.39889
167,HemaLoc_Frontal,-1.12755
165,VomitNbr_Not applicable,3.08301
163,ClavNeck_0,-0.1071
162,NeuroD_0.0,-2.10779
161,ClavTem_92,-0.79242
159,InjuryMech_Assault,-5.72416
158,HAStart_Not applicable,4.14646
157,NeuroDOth_92,-0.16044
156,InjuryMech_FallElev,0.50777
153,Drugs_0.0,-0.15739
151,Sedated_0.0,-0.23837
149,Vomit_1.0,-3.2143
148,Intubated_0.0,-0.10029
147,OSIOth_0,5.19297
146,AgeInMonth,-0.0524
144,SFxPalpDepress_92.0,-0.18542
143,High_impact_InjSev_Moderate,-0.29066
140,OSICspine_0,-8.01792
138,ClavTem_1,0.28873
137,FontBulg_0.0,-0.23438
135,HA_verb_1.0,-0.69618
134,ClavOcc_0,0.01748
131,VomitLast_1-4 hrs before ED,6.15485
130,HASeverity_Mild,0.01353
129,HemaLoc_Occipital,0.52859
128,Paralyzed_0.0,-0.18696
127,ActNorm_0.0,0.19252
122,OSIPelvis_0,0.60415
175,ClavPar_1,0.06133
178,SFxBas_0.0,-0.15367
119,VomitNbr_Once,1.20297
179,ClavFace_1,-0.71354
5,SFxBasOto_92,-0.0989
216,ClavOcc_92,-0.95751
215,High_impact_InjSev_High,0.49498
214,AMS_1.0,0.12428
213,AMSRepeat_0,-0.61091
212,InjuryMech_Sports,1.06588
211,AMSOth_92,-0.73009
210,OSIFlank_92,-0.1665
208,InjuryMech_FallStair,0.29774
207,HAStart_Within 1 hr of event,5.13148
206,InjuryMech_Other,0.58421
205,ClavFro_92,-1.17518
204,ClavNeck_92,-1.06854
202,ActNorm_1.0,-0.31536
201,SeizOccur_Not applicable,-0.15374
200,AMSAgitated_92,-1.30507
199,OSIPelvis_92,-0.24339
198,HemaSize_Medium,3.12664
195,NeuroDMotor_92,-0.15132
194,HemaSize_Not applicable,1.34557
193,OSIFlank_0,2.00515
192,Clav_1.0,-0.90454
191,VomitLast_<1 hr before ED,6.10615
190,HemaLoc_Parietal/Temporal,0.57766
189,AMSAgitated_0,0.1596
185,AMSSleep_0,0.71479
183,Amnesia_verb_0.0,1.92691
182,ClavTem_0,0.03975
180,Amnesia_verb_1.0,2.78422
121,LOCSeparate_No,-0.52976
126,SFxBasPer_92,-0.15154
118,SFxBasRet_92,-0.20182
64,HA_verb_91.0,-0.56751
117,OSIAbdomen_92,-0.17595
61,OSI_1.0,-0.18058
59,AgeinYears,0.58034
55,LocLen_Not applicable,-1.55747
54,OSIExtremity_1,1.02179
52,InjuryMech_BikeCol,-0.10004
50,OSICut_0,0.25773
48,VomitNbr_>2 times,14.00472
47,OSIAbdomen_0,-1.70835
46,OSICspine_92,-0.18969
42,OSIOth_92,-0.28951
40,NeuroDSensory_92,-0.14388
39,OSIExtremity_92,-0.21234
38,ClavFro_0,-0.1421
35,AMSSlow_92,-0.54538
34,HASeverity_Moderate,0.60425
33,HA_verb_0.0,0.19355
31,VomitNbr_Twice,0.31954
30,LOCSeparate_Yes,-1.66233
29,InjuryMech_ObjStruckHead,1.37238
25,ClavPar_92,-0.93827
23,SeizLen_Not applicable,-0.17783
19,NeuroDCranial_92,-0.17148
17,ClavFace_92,-1.03783
16,High_impact_InjSev_Low,-0.28363
11,LOCSeparate_Suspected,11.55516
10,AMSRepeat_92,-0.5109
9,InjuryMech_PedesMV,0.41414
6,AgeTwoPlus,-0.24197
63,SFxBasRhi_92,-0.19855
62,OSIExtremity_0,-1.0509
65,Vomit_0.0,0.59684
92,InjuryMech_MVC,1.24977
116,ClavFace_0,-0.57455
111,AMSSleep_92,-0.43224
108,ClavOcc_1,0.40419
106,ClavFro_1,0.02604
103,VomitStart_1-4 hrs after event,0.84242
102,AMSSlow_0,0.22933
100,SFxPalp_No,-0.15155
99,HemaSize_Large,2.42397
98,NeuroDReflex_92,-0.16443
97,HASeverity_Not applicable,-0.37303
96,InjuryMech_FallToGround,-1.25846
66,LocLen_5 sec - 1 min,14.04529
93,Seiz_0.0,-0.12887
94,Clav_0.0,3.06753
90,Hema_0.0,0.63953
77,VomitStart_Within 1 hr of event,10.02348
68,SFxBasHem_92,-0.61179
69,HemaLoc_Not applicable,1.98387
72,VomitLast_nan,5.51995
89,AMSSleep_1,-0.30386
74,OSI_0.0,-0.26016
73,HemaSize_Small,2.82677
78,AMSOth_0,0.18338
79,Hema_1.0,0.69096
83,ClavPar_0,-0.02947
84,InjuryMech_RanIntoStatObj,0.94935
86,AMS_0.0,1.01246
88,Amnesia_verb_91.0,2.54096
374,SeizLen_>15 min <= 0.5,-0.25144
365,NeuroDReflex_1 <= 0.5,-0.10187
337,Sedated_1.0 <= 0.5,-0.15
378,SeizLen_5-15 min <= 0.5,-0.15727
357,OSICut_1 <= 0.5,-0.2072
369,SFxBasRet_1 <= 0.5,-0.14286
339,NeuroD_nan <= 0.5,-0.09431
346,HA_verb_nan <= 0.5,-0.18852
370,Sedated_0.0 > 0.5,-0.13023
328,SFxBasPer_1 <= 0.5,-0.10666
345,SFxPalpDepress_1.0 <= 0.5,-0.21285
371,NeuroDSensory_1 <= 0.5,-0.14373
329,OSIPelvis_1 <= 0.5,-0.1233
362,SFxBasHem_1 <= 0.5,-0.19115
315,SFxPalpDepress_92.0 > 0.5,-0.27109
351,NeuroD_nan <= 0.5 and NeuroDSensory_1 <= 0.5,-0.11399
356,OSIPelvis_1 <= 0.5 and SeizLen_5-15 min <= 0.5,-0.06349
360,SFxBasHem_1 <= 0.5 and Sedated_1.0 <= 0.5,-0.17925
340,SFxPalp_Yes <= 0.5,-0.49481
377,SFxBasHem_1 <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5,-0.16892
372,SFxBasPer_0 <= 0.5,-0.08493
364,SFxBasHem_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5,-0.22595
338,NeuroDMotor_1 <= 0.5 and HAStart_nan <= 0.5,-0.13705
359,SFxPalpDepress_1.0 <= 0.5 and SeizLen_1-5 min <= 0.5,-0.23358
367,SFxBasRet_0 <= 0.5,-0.01938
361,Drugs_1.0 <= 0.5,-0.12273
353,NeuroDMotor_1 <= 0.5 and SFxBasHem_1 <= 0.5 and SeizLen_5-15 min <= 0.5,-0.23228
368,SFxBasRet_0 <= 0.5 and SeizLen_>15 min <= 0.5,-0.11711
366,SFxBasRhi_0 <= 0.5,-0.08554
313,LocLen_>5 min <= 0.5,-0.19304
312,ActNorm_nan <= 0.5,-0.14656
358,AMSRepeat_1 <= 0.5,-0.71433
294,SFxBasRet_1 <= 0.5 and LocLen_>5 min <= 0.5,-0.03329
363,AMSRepeat_1 <= 0.5 and SFxBasRet_1 <= 0.5,-0.56421
349,NeuroDMotor_0 <= 0.5,-0.34553
309,SFxBasRet_0 <= 0.5 and SFxBasPer_0 <= 0.5 and SFxPalp_Yes <= 0.5,0.65164
314,SFxBasHem_1 <= 0.5 and NeuroDOth_1 <= 0.5,-0.23935
310,SFxBasPer_0 <= 0.5 and SeizOccur_Immediately on contact <= 0.5 and OSICut_1 <= 0.5,-0.00551
348,OSIPelvis_1 <= 0.5 and AMSRepeat_1 <= 0.5 and SFxPalpDepress_0.0 <= 0.5,-0.95551
335,SFxBasHem_1 <= 0.5 and AgeInMonth > 0.5,-0.18433
317,AMSRepeat_1 <= 0.5 and LocLen_>5 min <= 0.5,-0.83507
343,AMSAgitated_1 <= 0.5 and NeuroDReflex_1 <= 0.5,-0.09914
355,AMSOth_1 <= 0.5,-0.11367
347,AMSOth_1 <= 0.5 and NeuroDReflex_1 <= 0.5,-0.23738
332,SeizOccur_>30 minutes after injury <= 0.5 and AMSAgitated_1 <= 0.5,-0.14134
373,SFxPalpDepress_1.0 <= 0.5 and AMSAgitated_1 <= 0.5,-1.09457
334,Drugs_1.0 <= 0.5 and OSICspine_1 <= 0.5,-0.04647
336,SFxBasHem_1 <= 0.5 and OSIOth_1 <= 0.5,0.72135
330,SFxPalp_Unclear <= 0.5,-0.96022
354,AgeInMonth > 1.5,-0.09742
376,SFxBasPer_1 <= 0.5 and HASeverity_Severe <= 0.5,-0.15684
325,NeuroD_nan <= 0.5 and SFxPalp_Unclear <= 0.5 and SeizLen_>15 min <= 0.5,0.54349
342,SFxPalp_No > 0.5 and SFxPalpDepress_0.0 <= 0.5,-0.16302
319,SFxPalpDepress_1.0 <= 0.5 and AMSAgitated_1 <= 0.5 and ActNorm_nan <= 0.5,0.24703
331,AMSSlow_1 <= 0.5,-0.24763
311,AgeInMonth > 0.5 and HASeverity_Severe <= 0.5,-0.23689
341,AgeInMonth > 0.5 and InjuryMech_OtherWheelCrash <= 0.5,-0.03526
344,LOCSeparate_Suspected <= 0.5 and NeuroDReflex_1 <= 0.5,-0.86536
375,NeuroDMotor_1 <= 0.5 and SFxBasRet_1 <= 0.5 and LocLen_>5 min <= 0.5 and InjuryMech_OtherWheelCrash <= 0.5,-0.04043
333,InjuryMech_PedesMV <= 0.5,-0.2716
307,SFxPalpDepress_1.0 <= 0.5 and AgeInMonth <= 210.5 and AMSRepeat_1 <= 0.5 and SFxBasOto_0 <= 0.5,3.58051
297,SFxPalpDepress_92.0 > 0.5 and AMSAgitated_1 <= 0.5 and InjuryMech_OtherWheelCrash <= 0.5,-0.10509
327,OSIFlank_1 <= 0.5 and AgeInMonth <= 211.5 and InjuryMech_OtherWheelCrash <= 0.5,-0.90853
291,LOCSeparate_Suspected <= 0.5 and SFxBasHem_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5 and AMSAgitated_1 <= 0.5,0.97685
284,SeizOccur_>30 minutes after injury <= 0.5 and LocLen_5 sec - 1 min <= 0.5,1.47131
287,SFxBasHem_1 <= 0.5 and VomitNbr_>2 times <= 0.5,1.25816
316,SFxPalp_Yes <= 0.5 and VomitNbr_>2 times <= 0.5,-0.41802
350,SFxBasHem_1 <= 0.5 and SFxPalpDepress_92.0 > 0.5 and AMSSleep_0 <= 0.5,0.26538
352,SFxPalpDepress_0.0 <= 0.5 and SeizOccur_>30 minutes after injury <= 0.5 and HemaSize_Large <= 0.5,-0.65102
301,AMSRepeat_1 <= 0.5 and VomitStart_Within 1 hr of event <= 0.5,1.11381
324,AMSAgitated_0 <= 0.5,-0.43555
323,HemaLoc_Parietal/Temporal <= 0.5 and NeuroDReflex_1 <= 0.5,-0.46622
302,SFxPalpDepress_1.0 <= 0.5 and AgeInMonth > 0.5 and AMSAgitated_0 <= 0.5,0.59693
285,AgeInMonth > 8.5 and AMSRepeat_1 <= 0.5,-0.44593
289,High_impact_InjSev_High <= 0.5,-0.31712
382,High_impact_InjSev_High > 0.5,0.37914
389,AMSAgitated_0 > 0.5,0.2129
384,AgeInMonth > 0.5 and HemaLoc_Parietal/Temporal > 0.5 and NeuroDReflex_1 <= 0.5,0.57592
308,AgeInMonth <= 8.5 and AMSRepeat_1 <= 0.5 and AMSAgitated_1 <= 0.5 and HemaSize_Large <= 0.5,-0.25762
279,OSIAbdomen_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5 and AgeInMonth > 0.5 and SFxPalp_Unclear <= 0.5 and AMSAgitated_0 > 0.5 and InjuryMech_ObjStruckHead <= 0.5,-1.82724
383,AMSRepeat_1 <= 0.5 and VomitStart_Within 1 hr of event > 0.5,-8.34303
379,AgeInMonth > 7.5 and SeizOccur_>30 minutes after injury <= 0.5 and SFxBasOto_92 > 0.5 and HemaSize_Large > 0.5,0.57081
388,SFxPalp_Yes <= 0.5 and VomitNbr_>2 times > 0.5,-0.93472
381,SFxBasHem_1 <= 0.5 and VomitNbr_>2 times > 0.5,-10.58171
380,SFxPalp_No > 0.5 and SFxBasHem_1 <= 0.5 and SFxPalpDepress_92.0 > 0.5 and OSIOth_1 <= 0.5 and AMSSleep_0 > 0.5 and ActNorm_nan <= 0.5,-1.05469
274,SeizOccur_>30 minutes after injury <= 0.5 and LocLen_5 sec - 1 min > 0.5 and HemaSize_Small <= 0.5 and OSICspine_1 <= 0.5,-12.62588
386,NeuroDSensory_0 <= 0.5 and InjuryMech_PedesMV > 0.5,-0.38298
392,AMSSlow_1 > 0.5,0.46647
387,LOCSeparate_Suspected > 0.5 and NeuroDReflex_1 <= 0.5 and HemaSize_Large <= 0.5,12.32658
282,LOCSeparate_Suspected > 0.5 and SFxBasHem_1 <= 0.5 and SFxPalpDepress_1.0 <= 0.5 and AgeinYears > 1.5,-25.74281
385,AgeInMonth <= 1.5 and LocLen_Not applicable > 0.5,-0.59735
396,AgeInMonth > 0.5 and InjuryMech_OtherWheelCrash > 0.5,-3.10773
276,AMSSlow_1 > 0.5 and LOCSeparate_Yes <= 0.5,0.00719
258,SFxPalp_No <= 0.5 and SFxPalpDepress_0.0 <= 0.5 and High_impact_InjSev_High <= 0.5,-0.07694
390,OSIFlank_1 <= 0.5 and AgeInMonth <= 211.5 and InjuryMech_OtherWheelCrash > 0.5,8.61345
292,SFxPalp_Unclear <= 0.5 and OSIOth_1 <= 0.5 and HASeverity_Severe > 0.5,0.54448
277,VomitNbr_>2 times <= 0.5 and SFxBasRhi_92 > 0.5 and InjuryMech_OtherWheelCrash > 0.5,-6.16133
281,NeuroDMotor_1 <= 0.5 and SFxBasRet_1 <= 0.5 and Vomit_0.0 > 0.5 and InjuryMech_OtherWheelCrash > 0.5,0.42374
393,SFxBasHem_1 <= 0.5 and OSIOth_1 > 0.5,-54.83824
394,SeizOccur_>30 minutes after injury <= 0.5 and AMSAgitated_1 > 0.5,0.03601
