,rule,coef
0,OSICut_92,-0.15807
177,LocLen_1-5 min,0.07416
174,VomitStart_Not applicable,-3.04715
167,HemaLoc_Frontal,-0.36192
165,VomitNbr_Not applicable,1.23249
163,ClavNeck_0,-0.69531
162,NeuroD_0.0,-0.03568
161,ClavTem_92,0.05536
159,InjuryMech_Assault,-3.5867
158,HAStart_Not applicable,0.79182
157,NeuroDOth_92,0.01223
156,InjuryMech_FallElev,-1.28341
153,Drugs_0.0,-0.03324
151,Sedated_0.0,-0.0035
149,Vomit_1.0,-0.52336
148,Intubated_0.0,-0.02232
147,OSIOth_0,-4.5252
146,AgeInMonth,-0.00995
144,SFxPalpDepress_92.0,-0.00364
143,High_impact_InjSev_Moderate,0.13943
140,OSICspine_0,-0.95919
138,ClavTem_1,8.08378
137,FontBulg_0.0,-0.02935
135,HA_verb_1.0,1.18649
134,ClavOcc_0,-0.07188
131,VomitLast_1-4 hrs before ED,3.65308
130,HASeverity_Mild,-2.76971
129,HemaLoc_Occipital,0.00622
128,Paralyzed_0.0,0.02492
127,ActNorm_0.0,0.21068
126,SFxBasPer_92,-0.05078
175,ClavPar_1,0.47899
178,SFxBas_0.0,0.02253
121,LOCSeparate_No,-1.10124
179,ClavFace_1,-0.29602
5,SFxBasOto_92,-0.01543
216,ClavOcc_92,-0.01645
215,High_impact_InjSev_High,0.45568
214,AMS_1.0,-0.18046
213,AMSRepeat_0,-0.61012
212,InjuryMech_Sports,-1.2414
210,OSIFlank_92,-0.28658
209,AMSSlow_1,-1.24553
208,InjuryMech_FallStair,-2.67534
207,HAStart_Within 1 hr of event,1.09403
206,InjuryMech_Other,-1.26626
205,ClavFro_92,-0.13271
204,ClavNeck_92,0.00061
202,ActNorm_1.0,-0.03856
201,SeizOccur_Not applicable,-0.00239
200,AMSAgitated_92,0.11073
199,OSIPelvis_92,-0.12457
198,HemaSize_Medium,1.13819
195,NeuroDMotor_92,-0.06296
194,HemaSize_Not applicable,-0.22362
193,OSIFlank_0,0.96054
192,Clav_1.0,0.51012
191,VomitLast_<1 hr before ED,3.87285
190,HemaLoc_Parietal/Temporal,0.1888
189,AMSAgitated_0,0.33871
185,AMSSleep_0,-2.84299
183,Amnesia_verb_0.0,0.38222
182,ClavTem_0,-0.99308
180,Amnesia_verb_1.0,0.67859
122,OSIPelvis_0,0.46777
211,AMSOth_92,0.04594
119,VomitNbr_Once,0.28401
64,HA_verb_91.0,0.70057
62,OSIExtremity_0,-0.00568
61,OSI_1.0,0.61924
59,AgeinYears,0.10866
55,LocLen_Not applicable,0.90435
54,OSIExtremity_1,1.00761
52,InjuryMech_BikeCol,-1.29675
50,OSICut_0,0.91599
48,VomitNbr_>2 times,0.68987
47,OSIAbdomen_0,-0.44746
46,OSICspine_92,-0.13283
42,OSIOth_92,-0.13588
40,NeuroDSensory_92,-0.05657
39,OSIExtremity_92,-0.09708
38,ClavFro_0,0.03976
35,AMSSlow_92,0.03567
34,HASeverity_Moderate,-2.07198
33,HA_verb_0.0,0.86131
31,VomitNbr_Twice,-0.14998
30,LOCSeparate_Yes,0.44621
29,InjuryMech_ObjStruckHead,-0.37019
23,SeizLen_Not applicable,-0.01884
19,NeuroDCranial_92,-1.9192
17,ClavFace_92,-0.02211
16,High_impact_InjSev_Low,-0.98852
11,LOCSeparate_Suspected,4.99668
10,AMSRepeat_92,-0.08205
9,InjuryMech_PedesMV,-0.29486
118,SFxBasRet_92,0.06018
6,AgeTwoPlus,-0.06587
63,SFxBasRhi_92,0.0098
25,ClavPar_92,-0.04111
65,Vomit_0.0,0.33399
92,InjuryMech_MVC,-0.45267
116,ClavFace_0,0.06106
111,AMSSleep_92,-0.00341
108,ClavOcc_1,0.47959
106,ClavFro_1,0.28271
103,VomitStart_1-4 hrs after event,-0.43215
102,AMSSlow_0,0.30573
117,OSIAbdomen_92,-0.15821
100,SFxPalp_No,-0.05026
99,HemaSize_Large,1.4155
98,NeuroDReflex_92,0.01168
97,HASeverity_Not applicable,-2.17448
96,InjuryMech_FallToGround,-1.24835
94,Clav_0.0,-1.7539
66,LocLen_5 sec - 1 min,0.56202
